,title,cleaned
139,A Home with a View,"A billboard wreaks havock in a Hong Kong family life. The Lo family live in an old  flat in the middle of a noisy neighborhood: father (Francis Ng), mother (Anita Yuen), unemployed son (Ng Siu-hin), teenage daughter (Jocelyn Choi) and his elderly, disabled father (Cheung Tat-ming). Now a billboard is blocking their view and their already chaotic life becomes sheer madness."
140,Air Force One,"Russian terrorists conspire to hijack the aircraft with the president and his family on board. The commander in chief finds himself facing an impossible predicament: give in to the terrorists and sacrifice his family, or risk everything to uphold his principles - and the integrity of the nation."
141,Airplane Mode,"En route to the world's largest social media convention in Australia, Logan Paul is scared to death; today is his first time flying. All of his worst nightmares come true when the passengers refuse to switch their phones to airplane mode, causing the plane's controls to go haywire and electrocuting the pilots."
142,Aisa Yeh Jahaan,"During a vacation, a young city girl learns to appreciate connecting with nature. Away from her concrete urban existence, her parents help her learn about her roots."
143,Aiyaary,An Indian Army officer is compelled to chase down his protege when the latter turns rogue and threatens to disrupt the country’s government and army.
144,Ajji,"After her 10-year-old granddaughter Manda is brutally raped by a serial sex offender, the young girl's Ajji sets out to seek revenge, after custodians of law refuse to bring the rapist to book, thanks to his influential political background."
145,Alakada Reloaded,"The film depicts a young girl who, having come from a less-privileged family, makes a habit of lying to people about her financial status."
146,A Land Imagined,"A lonely construction worker from China goes missing at a Singapore land reclamation site, and a sleepless police investigator must put himself in the mind of the migrant to uncover the truth beneath all that sand."
147,Alan Saldaña: Mi vida de pobre,Mexican comic Alan Saldaña has fun with everything from the pressure of sitting in an exit row to maxing out his credit card in this stand-up special.
148,Alarmoty in the Land of Fire,"While vacationing at a resort, an ornery and outspoken man is held captive by a terrorist organization."
149,Ala Vaikunthapurramuloo,"Fate plays a vital role in connecting the life of Bantu, a son who seeks validation from his cold-hearted father with the life of Raj, whose millionaire father wishes that he was more assertive."
150,Albert Pinto Ko Gussa Kyun Aata Hai?,"Albert Pinto Ko Gussa Kyun Aata Hai? (2019) Albert Pinto goes missing one day and his girlfriend and family start making rounds at the police station to track him down. Unknown to them, he is on his way to Goa to carry out his first assignment as a hitman."
151,Albion: The Enchanted Stallion,"A twelve-year-old girl is transported by a magical black stallion to the mystical world of Albion, where she discovers that she alone is the key to saving an entire race of people."
152,A Leaf of Faith,"Documentary exploring a plant-based alternative to Opioid painkillers, which are responsible for the deaths of 30,000 Americans a year. It comes from a tree named Kratom, and it is able to alleviate pain and help overcome addiction without many of the side effects of Opioids."
153,Alejandro Riaño: Especial de stand up,"Colombian comedian Alejandro Riaño discusses the perks of dating a she-wolf, styles of dancing, the quirks of Bogotá men and soccer game announcers."
154,Alelí,"The death of patriarch Alfredo sends his heirs into a downward spiral. With the pending sale of their beach house, a repository of childhood memories, three siblings’ long-simmering resentments are brought to a full boil. Alternating between moments of laugh-out-loud absurdity and stirring beauty, Alelí is a knowing black comedy about a dysfunctional family that seems willing to set everything on fire."
155,"Alexandria, Again and Forever","Set in 1987 against the backdrop of a hunger strike by the Egyptian film industry, Chahine himself steps in to play Yehia, the famed Egyptian director whose life is chronicled in ""Alexandria, Why?"" and ""An Egyptian Story"". Obsessed with Amr, the handsome actor he discovered and cast as his alter-ego in parts one and two of The Alexandria Trilogy, Yehia pressures Amr to star in various film projects that change even as Yehia's perception of the young actor begins to change. He first casts Amr as Hamlet, which the actor deems too demanding for his talents, then as the lead in a musical biopic of demigod Alexander the Great, who founded the city of Alexandria in 332 B.C.Alexandria,"
156,Alexandria… Why?,"Set against the panoramic backdrop of war-torn Egypt, director Youssef Chahine tells a highly personal tale of love and determination. Amid the poverty, death and suffering caused by World War II, 18 year-old Yehia, retreats into a private world of fantasy and longing. Obsessed with Hollywood, he dreams of one day studying filmmaking in America, but after falling in love and discovering the lies of European occupation, Yehia profoundly reevaluates his identity and allegiances."
157,Alex Fernández: The Best Comedian in the World,Comic Alex Fernández performs his familiar autobiographical stories but goes a little deeper this time with a tender tale about one of his six siblings.
